rating,review
__label__5 ,lyn hurtigt svar og god service undervejss
__label__5 ,nemtenkelt og med et sublimt service niveau.
__label__5 ,god venlig serviceog hurtige svar
__label__4 ,god og saglig servicesamt opfølgning
__label__5 ,super service alle de efterhånden mange gange jeg har benyttet al finans 
__label__5 ,det går bare hurtigt og nemt og til den rigtige pris. andet er der ikke at sige til det 
__label__5 ,kan klart anbefale al finans. specielt til elbiler. hurtig behandling.
__label__5 ,billigt og nemti løbet af få timer havde jeg et tilbud og alt foregik digitalt
__label__5 ,hurtig sagsbehandling. kan kun anbefales.
__label__5 ,aldrig har jeg oplevet så behjælpelig og hurtig behandling af et lån
__label__5 ,super hurtig behandlingstid og attraktiv rentesats. nemt at komme igennem til den rette person. kan klart anbefales.
__label__5 ,super gode service og super godt bile lån 
__label__5 ,vores ansøgning om lån til køb af ny bil blev behandlet på under 24 timer! al finans er nemme at komme i kontakt med og nemme at snakke med. kan varmt anbefale al finans ved køb af bil.
__label__5 ,hurtig ekspedition og svartid kan kun anbefales
__label__5 ,hurtigt og nemt - rigtig god rente på grøn billån.
__label__5 ,hurtig og nem ansøgning via nettet.hurtig tilbagemelding
__label__5 ,super hurtig og nem betjening bliver kun bedrenår det toppes med en venlig og hjælpsom service. tak for en fin oplevelse - jeg kan trygt anbefale al finans til andre.
__label__4 ,fin og hurtig behandlingomend det føltes lidt ubehageligt at give samtykke til at en tredjepartkunne få adgang til vores konti.
__label__2 ,man skal min. være 35 år for at optage et mc-lån hos al-finans. begrundelsen erat der sker flere ulykker for unge end ældre. sagen er jo bare denat motorcyklen skal være forsikret for at køre på vejen og er det détsom problemet går påså er det jo bare at gøre krav påat motorcyklen er kaskoforsikret. jeg syntes at det er en ommer. kundeservicemedarbejderen var dog meget venlig.
__label__1 ,sødt personalemen deres software virker overhovedet ikke :-) så det der skulle være så smart og intuitivtbliver det omvendte.spar jer selv for besværet!!
__label__5 ,altid hjælpsomme og billige!!! vender tilbage igen og igen!
__label__1 ,en meget tidskrævende proces når man ansøger om et billån i den lave ende af skalaen samt manglende tillid til deres kunder.efter at have brugt tid på at snakke med adskillige medarbejdere under hele ansøgningsprocessen hos al finansindgået en aftale med bilforhandler samt indsendt alt den efterspurgte dokumentation ender det med en stor skuffelse og afslag vedrørende billån.. ansøgningsprocessen stod i modsætning til anmeldelserne her på trustpilotog det var alt andet end en nemsimpel og hurtig kreditvurdering!
__label__5 ,meget hjælpsommehurtige til at svare og til at besvare alle slags spørgsmål. absolut intet negativt herfra. :)
__label__5 ,fantastisk service. super god oplevelse med hele forløbet.
__label__5 ,er først gang vi bruge al finans men helt sikkert ikke sidst hurtigt svar dygtige medarbejdere vil helt sikkert anbefale til familier og venner hilsen benny madsen
__label__1 ,der skete en fejlrequest failed with status code 400fra låne siden
__label__5 ,dejlig hurtig og billig (hvis ikke billigst) når tingene er på plads effektiv!!!
__label__5 ,fantastisk god service hele vejen igennem 
__label__5 ,jeg har netopfor anden gangfået finansieret et bilkøb via al-finanssom blev valgt fordi de også denne gang havde det bedste tilbud. i hele processenfra jeg henvendte mig første gangtil købet var en realitetmødte jeg en dejlig imødekommenheduanset om det var pr. telefon eller mailså mine bedste anbefalinger herfraalle 5 stjerner er fuldt fortjente
__label__5 ,super god oplevelse med al-finans. alt kørte automatisk og de giver altid meget hurtig svar på e-mail. gode priser og fornuftige vilkårkan klart anbefale al finans 
__label__5 ,fin sagsbehandling ved ansøgning om billån. flinke medarbejdere hvor man får indtryk af at de yder noget for sine kunderselvom man udmærket ved at det er strictly business 
__label__5 ,dejlig hurtig og nemt! super!
__label__5 ,hurtig svar og flinke medarbejder. kan kun anbefale alfinans. og de kan nemt være med i pris.
__label__5 ,fantastisk service.jeg har været meget glad for en tillidsfuldrespektfuld og tydelig kommunikation.
__label__1 ,kan ikke låne i en bil man selv ejerdet er ikke oplyst
__label__5 ,enkelteffektivtordentligt
__label__5 ,de er super hurtige med at svareog hele processen er nem og overskuelig.
__label__5 ,relativt enkelt og ligetil. det er dog noget underligt at man ikke taler med et eneste menneske om at låne så mange penge
__label__5 ,wauw!! hvor har det været fantastisk at opleve mit ansøgningsforløb med al-finans. søgte om billån via lendohvor jeg efterfølgende fik det bedste lånetilbud fra al-finans. fra den første henvendelse til lånet var udbetalt og bilen købtgik der under en uge!! i forløbet var jeg virkelig imponeret over den service og venlige betjeningjeg oplevede! i er bare super gode!! tusinde tak :-d
__label__5 ,meget hurtig betjening og væsentligt billigere end andre steder
__label__5 ,nemt at ansøge via hjemmeside.lynhurtig ekspeditionfik svar allerede dagen efter.lånedokumenter klar på anden dagen fra ansøgning :-)kan varmt anbefales
__label__5 ,fantastisk og super god service. realistiske hvad angår lånsamt gode til at vejlede herom. komme med eksempler på hvad de forskellige ændringer kan gøre. tak for at gøre bildrømmen til virkelighed!
__label__5 ,hurtigt og nemt. samt super god service når man ringer. og man kan ringe på en søndag
__label__5 ,endelig et selskab der ikke er urealistiske.tak for hjælpen
__label__5 ,super hurtig ekspeditionmodsat vores egen bank :(
