rating,review
__label__1 ,bestilte varer d 21/4 - pengene blev trukket d 25/4 samtidig med mail om at min ordre er på vej med levering d 26/4. har ikke set skyggen af mine varer endnu og det er umuligt at komme i kontakt med kundeservice
__label__1 ,har en premium leveringdvs. dagen efter (eller 2.dage efter) med levering i min postkasse.modtog aldrig pakke i postkassen...finder så ud af at de har leveret den hos silvan uden at give beskedjeg forøger at kontakte asos uden held hverken pr. telefon eller maildet er simpelthen ikke en mulighed at få fat i dem!de spilder simpelthen ens tid!!magen til idiotisk firma skal man lede længe efter.
__label__2 ,jeg er meget træt afat man meget ofte modtager den forkerte størrelse. jeg har oplevet det op til flere gange nu. er gået ind for at bestille varen på ny i den rigtige størrelsemen nu er den ikke på lager. jeg skal ud at rejse om 1.5 ugeså håber virkeligden når at komme på lager igen inden for de næste 3 hverdageda jeg meget gerne vil have blazeren med mig. synes også deres retursystem bør optimeres. det er irriterende at skulle rende i biblioteket hele tiden for at printe en returlabel. det har faktisk gjortat jeg efterhånden kun shopper en enkelt gang eller to om året i asos. jeg orker simpelthen ikke deres retursystem + de fejlde konstant laver.
__label__1 ,jeg har returneret en pakke for over en måned sidenog jeg har ikke hørt noget efter 14 dagesom de lover. når jeg går ind for at finde en mail for at skrive til dem ender jeg i et sort hulhvor man ikke kan finden noget. jeg lykkedes til sidst at finde en mailmen jeg har skrevet over 5 gange nu med alle de oplysninger de krævermen det var forgæves. simpelthen for dårligtjeg handler aldrig her igenog jeg mangler over 2.000 kr.
__label__5 ,rigtig fine vare til en meget rimelig pris! bestilte nogle kjolersuper fin kvalitetog hurtig levering. pakken kom dagen før den afsatte dag.
__label__1 ,der er trukket dobbelt for mit tøj. det er fuldstændig umuligt at komme i kontakt med asos. asos spilder folks tid med at finde rundt i deres labyrint af “hvordan vi bedst muligt kan køre rundt med vores kunder”. sindsygt respektløst og uordentligt. intet telefonnummer eller e-mail. kun evindelige spørgsmål og kliksom sender en tilbage til starten igen.
__label__1 ,min søn har købt varer hos jer og returneret nogle af dem (flere af dem for flere måneder siden). han kan ikke se at have modtaget penge retur. vi har forsøgt at finde telefonnummer og mailadresse til jeres kundeservicemen det er helt umuligt. derfor håber jeg nuat jeg via denne besked kan få oplyst et telefonnummer eller en mailadresse
__label__5 ,efter at have læse en del dårlige anmeldelserhavde jeg mine betænkninger. men det var der ingen grund til. min vare var rigtig fint pakket indgod kvalitet og blev leveret til den forventede tid.
__label__5 ,det er altid en fornøjelse at handle ved asos. + god kundeservice
__label__1 ,jeg nåede aldrig til at gennemføre min ordre. hele bestillingssystemetmin adresseder ikke kunne findesobligatorisk medlemskabups levering til click og collect 8 km væk. bøvlet.
