rating,review
__label__5 ,da jeg havde sendt ordren blev jeg i tvivl om at knivene er ægtemen det håber jeg. jeg ville gerne oprette en kontomen det kunne ikke lade sig gøre uden at jeg fik ny mailadresse og det forstår jeg ikke.
__label__5 ,det er en god fornøjelse
__label__1 ,bestilte en oliver & kidssandbox with canopy 100*100*113 cm white/navy blue. magen til spild af penge skal man lede længe efter. sandkassen er lavet af pindebrænde og var pakket før malingen var tør. træet skulle hives fra hinanden pga. malingen havde klisteret alle brædderne sammen. helt igennem et ringe produkt som jeg ikke vil anbefale.
__label__2 ,jeg bestilte 2 varer (iphone og cover) fra to forskellige sælgere d. 15/5. får efterfølgende en mail om at iphonen først bliver afsendt d. 29/5 - altså 14 dage efter bestillingsdatoenselvom den stod til at være på lager. det synes jeg er for lang tid og det virker meget mærkeligt. jeg tænkte i nogle dage at jeg godt kunne ventemen jeg stoler ikke på at det der foregår er i ordennår det sker på denne måde. jeg har derfor forsøgt at afbestille mobilen. men det system cdon brugergør at jeg heller ikke føler mig sikker på at det lykkedes. coveret fik jeg kort tid bagefter en mail om at var afsendt. jeg fik dog ingen info om forventet leveringsdatofragtfirmaom det sendes til pakkeboks eller min adresse eller noget som helt andet. her 5 dage senere ved jeg stadig ingenting og har ikke modtaget en pakke. der står heller ingenting når man logger ind og tjekker status på sin bestilling.jeg synes det er dårlig service og gør at jeg ikke stoler på at det der foregår er i orden. jeg kommer derfor ikke til at bruge cdon igen.
__label__1 ,hvor f*%#!%# er min bestilling?
__label__1 ,hører intet fra dem...bestilte en vare for over en måned siden.den kom ikke og jeg blev tilbudt at vente ca 15 dage på at den så vil ankomme. nu er der gået 3 uger og jeg har ikke modtaget den endnu. pengene er selvfølgelig trukket!!! har skrevet 3 gange men hører intet.
__label__4 ,hurtig og næste helt leveret... manglede dog at få bordpladen sammen med stilletmen den kom et par dage senere....
__label__1 ,1 stjerne fordi jeg ikke kan give mindre. d. 6/5 køber jeg en vare. der står op til 6 dages levering hvilket er ok da den først skal bruges 14/5.d10/5 bliver pengene trukket kan jeg se men jeg modtager intet info omkring levering. der er stadig ikke kommet noget og kundeservice svarer ikke.
__label__1 ,bestilte ordren d 02/05-2022 det skrives 5 dage for afsendelsefor så en mail at varen sendes d 16/05-2022 og har ikke fået noget eller hørt noget fra dem selvom man har sendt en mail med hvornår varen forventes at komme. ville gerne give en mindre stjerne men kunne ikke ellers var det gjort
__label__1 ,har ikke modtaget min pakkeog det er nu over 2 uger siden den er bestilt. cdon er ikke til at få fat påej sælger. det er sidste gang jeg købe noget hos dem.
__label__1 ,jeg har ikke modtaget mine varerselvom der står på minselvbetjening at jeg har. i / jeres samarbejdspartner qliroonepaypalsvarer ikke på min mail. :-) penge lige ud af vinduet.
__label__3 ,det var svært at komme ind på hjemmesidenog jeg havde også problemer med at bestilleda linket jeg skulle trykke på ikke virkede. det lykkedes dog til sidstog det er derfor at jeg ikke kun hav 1 stjerne.
__label__1 ,har bestilt en madras hos cdon.dk sælger er diapur oplyst 2-4 dages levering. dette står på hjemmesiden. bestilt 10-5-22. får besked om jeg modtager varen 16-5-22 kl 14.00. men jeg har ikke modtaget varen og ingen besked om forsinkelse. til jeres svar kan jeg så konstatere at varen stadig ikke er kommet og jeg bestilte kun hos jer pga. kort leveringstid. dette leves der ikke op til.
__label__1 ,det her er bare det værstejeg har nu ventet i mere end 3 uger på mine airpods har ik fået svar eller har ikke modtaget mine penge tilbage
__label__2 ,ved bestilling blev oplyst 5-15 dages leveringstidnu 17 dage senere venter jeg stadig på min vare. det er bare for lang leveringstidog så er varen endda ikke ret meget billigere end andre stederså det bliver sidste gang jeg handler dér.
__label__1 ,jeg har aldrig modtaget min pakke. pengene er trukket på min konto 
__label__5 ,som altid let at handle og hurtig levering kan kun anbefales
__label__5 ,hurtig levering og varen levede op til mine forventninger.
__label__5 ,god handel som det plejer at være
__label__3 ,kunne kun blive til 3 stjerner for varenbestillingen og betalingen. man kan ikke vælge en pakkeshop og i vil have en bedømmelse af tjenesten inden man får varen.
__label__1 ,det er nu fire uger siden jeg bestilte mine varer. de er endnu ikke dukket op. det er det samme hver gang. aldrig mere cdon.
__label__4 ,har kun bestilt indtil videre
__label__1 ,er på ingen måde tilfreds. min pakke er ikke ankommet og sporingen viser intet.
__label__1 ,transfobisk har block min siden efter de blev ved med at skrive mig på mit tidlig navn og jeg sager det til dem men de blev ved
__label__5 ,det ser fint ud på foto krassebrætet og har fået en go service så skriver nok mere når jeg har fået mine vare sikkerheden er helt i top
__label__4 ,jeg tager kun 4 stjerner fordi jeg ikke kan forstå hvorfor ncis ikke kommer med danske undertekster mere.
__label__1 ,smart cover til ipad air2desværre “ej originalt”det værste skrammelikke engang wish ville være det bekendt
__label__5 ,var lidt i tvivl om jeg skulle bestille herfra pga. alle de dårlige anmeldelser. jeg købte en fin spiderman cover til min lillebror til 79 kr. med gratis fragt. modtog en ordrekræftelsevaren blev sendt fra sverige (mailen oplyser at der kan være længere ventetid)men jeg har modtaget varen i dag i fin stand. jeg bestilte den 3. maj og modtag den 12. maj i dag. det er 7 hverdage. for den lave pris kan man ikke forvente lyn leveringdu får hvad du betaler. jeg synes bestemt at de 79 kr. er godt givet udog vil handle igen :)
__label__1 ,bestilte airpodsmen de er aldrig blevet afsendtforsøger at aflyse ordren.de står stadig på lager på siden
__label__4 ,nemtbilligt og lige til
__label__2 ,alt for lang leveringstid. der er nu gået 10 dage og jeg har stadig ikke modtaget min ordre!
__label__1 ,købte en samsung mobiltelefon den 19.03.2022. den skulle leveres efter 2-5 hverdage. den 05.04.2020 bestilte jeg en tilsvarende telefon hos power. den 06.04.2022 kom telefonen så fra cdon = extra digital storagemen da jeg jo havde købt en anden blev modtagelse nægtet. nu har jeg ventet 1 måned og 5 dage på at få mine penge retursom de hævede den 07.04.2022. kan absolut ikke anbefale cdon og extra digital storage !
__label__5 ,super hurtig levering. 
__label__1 ,jeg kan ikke rigtigt give cdon nogle stjernerda jeg stadig ikke har modtaget det jeg har bestilt for 10 dage siden.
__label__1 ,jeg har nu ventet 2 uger på mine airpods. utrolig elendig service. aldrig oplevet ringere levering. jeg købte etui til dem samme dag på wish og det er kommet før mine airpodswhat a joke?
__label__5 ,cdon.com er en god side at handle på. men får det man betaler forog de har en god kundeservice. ingen klager herfra. jeg har aldrig haft problemer med dem
__label__2 ,jeg har bestilt og fået en bekræftelse email. men det er også det eneste jeg har hørt. venter på at få at vide min pakke er sendt for over en uge sidenmen intet nyt i syne eller sigtekan ændre min vurdering hvis der snart sker noget. hvis ikke falder den til 1 stjerne.
__label__1 ,elendig returnering jeg har tidligere handlet fra cdon uden problemer. nu har købt en vinylplade som åbenbart leveres fra en svensk leverandør. pladen er defekt og jeg kan ikke få den byttet. jeg kan kun sende retur og få penge tilbage og derefter købe en ny eller accepterer en refusion på 15% = 35 kr.jeg ender op med at have betalt to gange forsendelse for at sende en defekt vareretur.det er helt sikkert slut med at handle her.
__label__1 ,har aldrig modtaget min pakke. jeg har mistet 300 kr. øv
__label__3 ,jeg har ikke modtaget min pakke endnu.og det er 3 dage siden jeg har bestilt den.
__label__5 ,jeg er tilfreds
__label__1 ,i december 2020 fik min søn en jbl partybox 100 i julegave til 1500 kr.højtaleren kan desværre ikke lade op længere og hvis det lykkedes os at få den tændtslukker den efter 10-20 sekunder. der er forsøgt med to kablerså det er selve højtaleren der er noget galt med. jeg er med på at cdon som sælger har mulighed for at opkræve et gebyrmen jeres kommunikation er meget uklar og i oplyser ingen steder i jeres vilkår omkring at der skal betales undersøgelsesgebyr. det er først når man opretter en sag at i oplyser om dette. i henviser desuden tilat jeg selv kan få produktet undersøgt på et certificeret værksted men hvad menes der med dette? kan jeg blot sende højtaleren ned til min lokale it-forhandler eller lydmand og så kan de kræve 1000 kr. for at lave en undersøgelsesom i refunderer demhvis de konstatere ?det er første gang i de seneste 15 år hvor jeg har handlet online at jeg oplever bøvl ved returnering af en defekt vareovervej om der er en grund til at i kun scorer 2 7 stjerner i gennemsnitskarakter på trustpilotnår flere af jeres konkurrenter får +4 5 stjerner.anmeldelsen har nu lagt på trustpilot i snart 10 dage og cdon vælger ikke at besvare denselvom de svarer på andre sager. det er ikke ok!
__label__2 ,når man køber for over 1000 dk kr skal der sat-me være fri fragt !!!!!
__label__5 ,nemthurtigt og god pris. kan ikke blive bedre.
__label__1 ,bestilte min ordre d. 22/4 og den er stadigvæk ikke kommet og jeg hører ikke noget
__label__1 ,jeg oprettede en konto hos cdon og i den forbindelse blev jeg lovet gratis fragt på min næste ordre. da jeg ikke havde lavet en ordreså lavede jeg en og regnede medat jeg fik fri fragtda det jo var min næste ordre. men nej jeg betalte 29 kr i fragt. det overlever jeg nokmen det irritererat de lover nogetmen for så ikke at kunne holde det. jeg overvejer om min næste ordre og er min sidste ordre i den webshop.
__label__4 ,har altid været godt tilfreds med cdon. synes bare godt at de kan samle deres afsendelser til en afgang og spare kunden for en fragtnår der er mulighed for det. og så svner jeg overvåg funktionen
__label__3 ,jeg kan kun give 3 stjernerda jeg ikke har modtaget de dvd'er jeg bestilte den 1/5.
__label__5 ,bedst site til hurtigt og pålidelig handel
__label__2 ,jeg bestilte en iphone 12 herfra og sidder pt og venter på den. da jeg bestilte den stod der den ville være hos mig efter ca. 6 arbejdsdage. men nu har jeg så fået at videat den først bliver sendt den 15. maj! jeg fatter ikke hvad det er der tager så lang tid.
__label__1 ,har bestilt vare igennem her! der står den er leveret og pengene er trukket. men ingen vare! og man kan ikke få fat på dem! pisse ulovligt!
__label__5 ,hurtig levering og jeg fandt en vare jeg ikke kunne få andre steder!
__label__1 ,når man skriver der er 50 stk i pakkerne. så skal der ik kun være 47. det ik rigtig ok vel?
__label__1 ,jeg ved ikke hvordan kan skrive det på en pæn og sober måde... men jeg prøver. jeg bestilte for 3 uger siden enhvad jeg troede varplaystation 4 controller og så i rødbum! solgt ved kasse ét 428kr. lige det som stod på et af børnenes ønskeseddel. jeg skulle så senere blive klogereda jeg opdager af den bliver sendt fra udlandet.. bevares da er da også coronakrigkrise og stigende priser på altså det er da ikke usandsynligt.jeg opdager så i min pakke-tracking at denne nu var ankommet i shanghai... ... ...der er noget galt her. jeg får kontakt tilhvad jeg troede var cdonog får at vide den kan returneres efter modtagelsen hvis det ikke skulle leve op til forventningerne..... det koster kun 90kr. superherunder kan i så se hvad jeg har modtaget... pakket ind i en enkelt bobleplast kuvert. jeg var ikke mange minutter om at betale for at sende min beskadiget kopivare retur.jeg har sidenhen erfaret at det er en 3. part som sælger fra cdon siden.hvis icdonvil ha' vent denne negative stimesom i er inde i. så burde i vælge jeres sælgere med omhu.
__label__1 ,der er gået en månedog jeg har ikke modtaget min ordre. sælgeren svarede næsten ikke på beskeden. jeg fortryder at have bestilt fra dem.
__label__5 ,yderst tilfreds.glæder mig til at modtage filmen.
__label__1 ,bestilte et simpelt mobilcover til 150 kr med et mercedes logo på. det jeg fik var et 5 kr´s wish produkt med et klisermærke bagpå!det bedste af det hele er næsten at mercedes logoet er ovalt og ikke rundt som det retteligt burde være.nu har købt et originalt til 250 kr. hos en konkurrent.
__label__1 ,jeg har bestilt en varemen ikke fået den. men har fået en rykker selv om jeg har betalt varen??
__label__1 ,aldrig har jeg oplevet mere useriøs handel! købte 2 væghængt natbord men de er så ødelagt og har hakker alle steder hvor farven er væk. skriver dette til dem og de tilbyder mig 80kr i kompensation for de næsten 500kr jeg har betalt eller reservedele. afviser dette da det er begge natbord hele vejen rundt så det er 2 nye der skal til. dette afviser de men vi nu give 150kr i retur eller reservedele!? jeg anbefaler ingen at købe noget møbel her igennem! kvaliteten er ren minus…!
__label__1 ,har ikke modtaget min vare og kan ikke komme i kontakt med dem
__label__4 ,fint godt enkelt - dog set meget bedre betalings it andre steder og identifikation af pakkeshop
__label__1 ,købt produkt i midt marts. men produktet var i stykker da jeg åbnede den intakte kasse. kontakter jeg dem på de vil sørger for jeg får nye dele til mit produkt. nu her i maj har jeg endnu ikke set skyggen af reservedele og når jeg nu skriver jeg vil retuener og have penge tilbage hvilket jeg har gjort 4 gange siden midt april. svare de ikke længere !! skam jer !
__label__1 ,cdon har bedt mig om at bedømme min nyeste ordre hos dem. bestilt den 25. april en 4k film boxsæt der var og er på lager. her den 4. maj har de stadigvæk ikke sendt noget og jeg har bedt dem slette ordren. de skriver godt nok at de sender indenfor 5-15 hverdagemen det gider jeg helt ærligt ikke vente på. min forrige ordre hos dem tog dem 2 måneder om at gennemføre fordelt på 2 forsendelser. cdon er ikke hvad de har været desværre.
__label__1 ,vi købte en låge der skulke værd sortsom så var grå. efter en masse bøvl fik vi den endeligt returneret. men penge har vi ikke set.
__label__1 ,cdon var førhen et rigtig godt og let sted at handlemen det har så åbenbart ændret sig en hel del. jeg har bestilt nogle airpods for fire dage sidenmen har hverken fået kvittering eller anden bekræftelseog har ikke hørt fra demselvom jeg har kontaktet dem via kundeservice (hvilket i øvrigt var en kamp at finde frem til). de har i øvrigt intet telefonnummer at kontakte dem på. så jeg aner ikke om og hvornår jeg modtager mine airpods - meget godt det ikke var til en gave.
__label__1 ,jeg har bestilt office-pakkenda jeg har skiftet computer og er ved at gøre klar til eksamen. på hjemmesiden stod derat jeg ville modtage produktnøgle og download via mail straks efter betaling. nu er det sen eftermiddagog jeg forventer derfor ikke at modtage. straks efter er mailen bestemt ikke sendt! det er umuligt at kontakte nogen form for kundeservice og jeg kan derfor hverken klagefå hjælp eller få mine penge retur. sidste gang jeg handler her!
__label__1 ,hvis jeg kunne give minus så gjorde jeg det. vi bestilte en port åbner og den kom og gik kort efter i stykker og den blev sendt retur. de siger de har sendt pengene retur men jeg har intet modtaget. de bliver ved med at sende mig rundt til kundeservice..! pengene skulle være sendt retur d. 19.04 og senest være på kontoen efter 5 dage og der er stadig intet. de skriver de har sendt pengenemen ikke hvor til. så siger de at ordren er annulleret og jeg derfor ikke får pengene. så er pengene igen sendt uden svar på hvortil og sådan køre det rundt og rundt.så hvad der startede som en god og let process er nu gået hen og er blevet mega irriterende og tidskrævende og vi lægger derfor ikke vores penge her igen.planen var at gen købe portåbneren men det kommer ikke til at ske.skod med skod på
__label__3 ,dagen efter er der stadig ingen bekræftelses mail kommet på mit køb og nulstil kodeord er der ikke sket noget med heller så er lidt betænksom.
__label__4 ,langsom. men det kommer nok.
__label__1 ,køb ikke herfraingen form for kundeserviceingen telefon nr eller mail på selve hjemmesiden. jeg ved ikke hvornår jeg modtager produktder er ingen datoingen bekræftelses mail. enten er cdon blevet en scamsite eller bare en forfærdelig hjemmesidejeg ved bare jeg aldrig køber der igen.
__label__1 ,penge trukket for vare d. 24/4-22 men i dag 3/5-22 er pakke fortsat ikke leveret. har kontaktet kundeservice men intet svar.
__label__1 ,er totalt umulige at få kontakt med. og den mail-adressesom der henvises tiler permanent fejlbehæftet. det vil sigeat man ikke kan skrive til dem.skriverat en vare er leveret den 28. aprilmen varen er først lige modtaget i dag den 3. maj.normalt virker det fint nokmen der er åbenbart store problemerhvis man skal i kontakt med cdon.
__label__5 ,super vare lidt langt levering tid
__label__1 ,har bestilt en swimmingpool støvsuger til 7.395 -kr. som er trukket på min konto.jeg har nu afventet 3 uger. cdon meddeler at de har sendt min beskedvidere til poolxpressmen har stadig intet hørt.elendig kundeservice fra cdon.kan absolut ikke anbefale dem..... er tilsyneladende en markedsplatform med andre underleverandørere.handel ikke med cdon.
__label__2 ,jeg har lige bestilt nogle bøger på cdon. jeg ved ikke om det er fra en af deres partnereden slags kan være svært at gennemskue.bøgerne er ikke på lagerde skal hjemskaffes.straks bestillingen var afgivetblev beløbet trukket fra min konto.det er ikke en fremgangsmåde der bruges af ret mange.jeg synes det er upassende og dårlig stil.det vil i hvert fald få mig til at overveje min brug af platformen(som det vist er blevet).em
__label__5 ,venter på oder men meget gode side kan ikke ænder mit navn og adresse der for jeg flytte og fået nyt efternavn
__label__1 ,jeg nu bange for at jeg overhovedet får min pakke jeg bestilte i dag. med alle de dårlige anmeldelser. har ikke modtaget nogle bekræftelses mail og kan ikke logge på.tror det er fusk og skulle bruge bøgerne til min datters konfirmation
__label__1 ,ja i har jo så stadig ikke afsendt min ordre her en uge efter bestillingså desværre kun 1 stjerne…
__label__2 ,levering tog 6 dage køb et andet sted hvis man skal bruge det hurtig
__label__4 ,havde bestilt levering til ok-tank men leverede ved jem og fix 1 kilometer vækikke ok. resten er der ikke noget at sætte en finger på da varen allerede kom 1 dag før lovede
__label__5 ,super tilfreds. god varehurtig afsendelse og levering.
__label__2 ,kunne ikke genkende kort. meget lang leverings tid
__label__1 ,har bestilt nogle airpods for ca. 1 måned siden. de skulle have været leveret i sidste uge. har intet hørt om udsættelse. skrev ind til cdon fredag og stadig intet svar.
__label__1 ,bestilte en vare før påske har stadig ikke modtaget den! men pengene kan de godt hæve. virkelig dårlig stil.vil slet ikke anbefale dem. og hat skrevet til demde svarede med at der kunne gå 6-12 dage. venter stadig.tror ikke jeg ser den vare eller min penge.
__label__5 ,100% servicefirmaets computer-system fungerer perfekt.
__label__5 ,jeg er glad for at handle i cdon danmark. undersøger om andre kan levere hurtigere og en bedre vare til billigste pris. som regel er det cdon der bare er den bedste.tak for at i altid er hjælpsomme med svar og forklaringer hvis jeg er i tvivl og har spørgsmål..
__label__1 ,forvirrende betalingikke klart hvor man kan taste rabatkoden ind. cdon er åbentbart ikke en webshop men en formidlings-sideså man handler ikke med cdon.
__label__5 ,handler ofte på cdonfaktisk gennem rigtig mange år. og har aldrig haft en dårlig oplevelse. så de bedste anbefalinger herfra.
__label__5 ,god prisoverskueligt
__label__3 ,viste hvad jeg ville have men gik i fisk da jeg ville gå til betaling der står men kan betale med dankort men det kunne man så ikke
__label__5 ,udmærket produkt
__label__2 ,i bruger et fragt selskab hvor man ikke selv kan vælge og kan risikere at skulle køre langt for at hente vare
__label__1 ,bestilte airpods for 25 dage siden og der stod de ville blive sendt den 26.her den 29. har jeg ikke hørt mere fra dem
__label__5 ,det var nemt og overskueligt at bestille!!
__label__1 ,vi har før været glade for at handle ved jer. men nu får man vare som er bestilt hjem i cinatracking viser den kommer fra cina. der er ikke tydliggjort at varen kommer fra cina. når man skal returnere koster det 90 kr! man skal selv kontakte den part hvor varen er bestilt og ikke cdon. det er sidste gang vi handler hos jer.
__label__1 ,jeg er godt nok skuffet over jeres fragtmetodejeg har ikke selv kunne vælge fragtmetodebetyder jeg skal køre 30 km til anden byfordi i bruger et fragtsselskab som kun levere til store byer. jeres fragtselskab er budbee.det gør jeg ikke har lyst til at handle via jer mere.
__label__1 ,jeg har bestilt en radio der skal bruges som fødselsdagsgave - men den dukker ikke op. i følge jeres hjemmeside så er den leveret i forgårs. i følge postnord ved de ikke hvor den er. den er sendt som varubrev fra sverige - så den kan ikke trackes. postnord henviser til jer - og i svare ikke. aldrig mere cdon.
