rating,review
__label__5 ,det var en rigtig god oplevelse med det heleså det hele gik godt og hurtig
__label__5 ,eboligskødet har været en stor hjælp i forbindelse med opgørelse af boet efter min far. tina har gennem hele forløbet sørget forat vi er blevet holdt velorienteretom hvor langt vi var med det heleog hun har selv efter et længere forløb været tilstede når vi har haft behov for det. alt er blevet afsluttet på en god måde.jeg vil hermed gerne give eboligskødet mine varmeste anbefalinger
__label__5 ,vi har været yderst tilfredse med den assistance som er blevet ydeti forbindelse med vores huskøb. vi kan varmt anbefale eboligskødet til allesom ønsker den ekstra sikkerhed det giverat have en advokat til at varetage ens interesseri en så vigtig proces. tusind tak for samarbejdet.
__label__5 ,jeg kan varmt anbefale eboligskødet aps - tina ydede meget professionel og god rådgivning i forbindelse med oprettelse af fremtidsfuldmagter. derudover er tina meget venlig og behagelig at tale med - og hun formår at omsætte det ofte lidt tunge juridiske sprog til et sprogman forstår. jeg vil helt sikkert bruge tina igenhvis jeg får behov for dette.
__label__5 ,der har været hurtige svar når jeg har sendt mail også selvom jeg har sendt dem om aftenen.
__label__5 ,kan varmt anbefale eboligskødet aps. tina er yderst hjælpsom og kan hjælpe indenfor køb/salgtestamenter og fremtidsfuldmagter m.m. hun er meget kompetent i sin rådgivning og hurtig til at svare mails m.m. så ring til tinahvis du har behov for hjælp inden for de ovennævnte områder. jeg vil helt klart kontante tina igenhvis jeg selv får behovet.
__label__5 ,lynhurtigprofessionel handling. tina har igen hjulpet os med et pantebrev oprettelse samt registrering hos hos nødvendige instanser.
__label__5 ,meget professionelt og effektivt advokat tina sølund / firma eboligskødet . jeg har kun positive ord og har følt mig tryg igennem ved køb af min lejlighed. jeg giver mine alle bedste anbefalinger til tina sølundsom er meget behageligt at tale med og vejlederog til eboligskødet aps. tusind tak 
__label__5 ,vi fik anbefalet boligskødet til at hjælpe os med en vanskelig sag i forbindelse med boligsalg. vi fik en meget personligskarp og professionel vejledning. hurtig ekspedition. tina sølund har en stor viden juridisk og en fantastisk evne til at sætte sig ind i tingeneforklareog kontakte de respektive personer. vi vil kontakte boligskødet igen mht fremtidige ejd.handlertestamente oa
__label__5 ,venlig og imødekommende at tale med. fleksibel ift hvornår vi kan mødes og arbejde med opgaven. hurtig til at fuldføre denne
__label__5 ,vi har i forbindelse med huskøb været yderst tilfredse omkring alle punkter i forbindelse med sagen. hurtigt svargode brugbare forklaringer og ikke mindst en god sparring og åbenhed mellem ossom har gjort det hele så meget lettere for os og gjort vi hurtigt er kommer i mål.
__label__5 ,jeg har kun positive ord at sige om eboligskødet. fantastisk oplevelse! meget professionelt og effektivt arbejde fra tinas side - tilmed utrolig behagelig person at tale med. jeg har følt mig tryg hele vejen igennem i forbindelse med mit køb af lejlighed.
__label__5 ,super service. mange tak for hjælpen
__label__5 ,jeg har fået assistance.af tina sølund i forbindelse med køb og salg af boligtre gange. tina har altid leveret en ovenud fin og professionel assistance. tilmed billig. jeg kan give mine allerbedste anbefalinger til tina sølund og eboligskødet.
__label__5 ,kan kun anbefale eboligskødet aps.super arbejde og fantastisk hjælp til alle ene spørgsmål.kæmp ros. ikke sidste gang jeg bruge dem
__label__5 ,god rådgivning og styr på tingene. trygt at handle bolignår tina fra eboligskødet er med
