rating,review
__label__1 ,vildt dårlig oplevelse har alt i orden men de ville ikke engang hjælpe eller tale med mig
__label__3 ,super godtat man hurtigt uden problemer kan låne penge når man er i nødmen renten må godt være mindre
__label__5 ,fantastisk! meget nemt ansøgning og hurtigt respons. tak!
__label__5 ,jeg ville sige at det er den fedest oplevelse jeg har haft længe nu kunne jeg købe en ny bil som jeg ikke har haft før tusind tak for den mulighed ferratum bank
__label__5 ,hurtiggod…..
__label__5 ,det var simpelhurtigt og nemt at gennemføre en ansøgning.
__label__1 ,medarbejder med at ringe til mig være anden dag og når der ligger en fuldmagt på en person så siger de bare at det er dig som står for der tak for kaffe
__label__5 ,jeg er meget tilfreds med måden jeg blev behandlet på.
__label__5 ,der har været støttende og enkelt procedure.tilfredsstillende.
__label__5 ,nice hurtig service
__label__5 ,alt er positiv
__label__4 ,hurtig betjening og penge på kontoenmen renterne er dyre
__label__5 ,det er super dejligt
__label__5 ,let og nemt at ansøge. tydelige og gendigte hjemmeside..
__label__5 ,nem og hurtigt supper kundeservice support. anbefales!
__label__5 ,er rigtig glad for den service jeg fik det gik hurtig igemnen og de har været rigtig flinke
__label__1 ,svindler virksomhed som ligger i skattely i udlandet ! disse svindlere er de samme som ejer diverse kasinoer med samme lokation . har en sag kørendehos dem da de blev ved med at tage 125 % i renter trods statens max på 49 9 % . de påstår at det intet problem er da det er en kassekredit og ikke et lån. der er mange hundrede kunder som er blevet snydt og det er sørgeligt at de kan gøre hvad de vil fordi deres lokation er malta mit råd til jer som er endt i en situation hvor de ikke vil gi sig. stop alle betalinger ! skulle de tage inkasso firma mod jer så gem jeres betalinger af de ulovlige renter og lad være med at lave en aftale med inkasso firmaet. inkasso firmaet skal følge god inkasso skik og de ved godt at tager de en sag hvor de presser på og den ikke holder i retten så tag det roligt.ligeledes er inkasso firmaet godkendt af den politikreds de er i så hvis i oplever chikane læg en klage til politiet . kan selvfølgelig være svært at få politiet til at gøre noget da der skal mange klager til .ha en god dagkasper
__label__3 ,pengene var hurtigt på kontoen. jeg kan dog ikke forstå at åop’en er 125%når der er kommet regler for et max.
__label__5 ,super nemtog hurtig udbetaling. overkommelig aftale.
__label__5 ,jeg ansøgt om et lån og der gik 15 min så var det god kendt det er skide fedt at der er nogen der forstår os når vi mangler penge mange tak for jer ferratum bank vh pia
__label__5 ,bedreeffektiv og nem at stole påhvis man virkelig har brug for det
__label__4 ,meget tilfreds ! tak
__label__4 ,hurtig servicehurtigere end forventet.fleksible tilbage betaling.
__label__5 ,god servicegod vejledning
__label__5 ,kunne godt li i ringede og fortalte mig at lånet var gået igennem. ikke mange der gør.. rigtig god sevice
__label__1 ,deres hjemmeside fungerer ikke korrekt. hver gang du vil betale din gældsender den en fejlmeddelelse omat betalingen ikke lykkedesog du skal betale igen. næste morgen forstår duat du har betalt flere gange. når du kontakter dem for at returnere dine pengebeder de dig om at hæve penge fra din kredithvilket betyderat du gør dig selv forgældet igen.
__label__1 ,dårligt fø de er meget hjælpsomt
__label__5 ,hurtigt og nemt at udfylde og et hurtigt svar. kan kun sige jeg er tilfreds.
__label__5 ,fantastisk hurtig og overskuelig behandling og samt resultat
__label__5 ,det var ikke et problem og få et lån. der gik ikke lang så var det gået igennem.
__label__5 ,hurtig serviceudbetaling og gode vilkår. anbefales.
__label__1 ,lad være med at afdrage deres lån er kendt ugyldigt af forbrugerombudsmanden
__label__5 ,super service og venlig og meget imødekommende kundeservice
__label__1 ,jeg skulle låne 5000kr og var godkendt til lånet. vælger lige at tjekke kreditaftalen igennem omkring beløbende passede som der stod på hjemmesiden og lige pludseligt var lånet på 30000kr i stedet for 5000 og skulle i stedet betale 5000 fra første måned af i stedet for de 467 om måneden den ellers havde sagt
__label__4 ,jeg syntes jeg blev behandlet rigtig pænt - tak for det - med venlig hilsen bente stensgaard busk
__label__5 ,super. thanks.
__label__5 ,super venlig og god hjælp
__label__5 ,hurtigt og nemt. jeg havde mine penge idefor en halv time
__label__5 ,hurtigt svar og nemt at både hæve og indbetale. rimelig rente.kan varmt anbefales
__label__5 ,rigtig god oplevelse. nemt og hurtigt
__label__5 ,god hjælp og hurtig levering og super fin ordning jeg er mega tilfreds 
__label__5 ,nem og hurtig. nemt at anvende
__label__5 ,1000 tak for lån godt service og alt
__label__5 ,umiddelbart ser det ud til at fungere på bedste vismen har jo pt ingen erfaring med demda det er helt nyt for mig at prøve. lad os se om et år om det har ændret sigså skal jeg nok vende tilbage med ros eller ris 
__label__5 ,for god behandling samt blev ringet op meden mase god vejledning
__label__5 ,nemt og trygt at lånehos ferratum bank du kan låne på den mådeder passer dig bedst.
__label__5 ,det gik utroligt hurtigttak til jer
__label__5 ,det var nemt og hurtigt at søge lånet og pengene stod hurtigt på kontoen.
__label__5 ,de var ret hjælpsom og der gik ca 15 min så hade jeg pengene på min konto så jeg kune købe min bil
__label__5 ,god og hurtig behandling af min ansøgning. er glad og tilfredstak for det.
__label__5 ,god service og hurtig udbetaling til ens konto.
__label__5 ,hurtig betjening. fint og overskuelighjemmesiden
__label__1 ,ringer uopfordret med automatiske telefon svare beskeder.
__label__5 ,nemt og hurtigthvis man lige har brug for en håndsrækning. pengene står hurtigt på kontoen. 
__label__5 ,jeg kan varmt anbefale dem af personlige grunde
__label__2 ,upersonlige og ikke til at snakke mednår man har problemer med at afdrageså overgiver man bare sagen til et andet incasso-firma
__label__5 ,alt kom samme dag så man søgte om lån
__label__5 ,nemt og hurtigt og elsker at man kan indbetale med visa kort til enhver tidså man ikke tvunget til at benytte bankoverførsler med reg/konto nr.
__label__5 ,denne bank kan varmt anbefales. god kundeservicehurtig udbetalingog alt i alt helt i top!andre banker kunne lære meget af ferratum.
__label__5 ,hej til ferratum! jeg har været glad for jeg kunne få hjælp fra jer.tak for det.hilsen lene johansen.
__label__5 ,meget hjælpsomt personale selv efter en dummert fra min side. klart anbefales.
__label__5 ,jeg har fået en meget god tale med jer og jeg vil bruge jer i mange år susanne hansen.
__label__5 ,meget tilfreds med oplevelsen. smart system med en form for fleksibel kredit. så jeg har kun gode ord og tanker om ferratum bank.
__label__5 ,oplevede ingen problemerog pengene er hurtigt udbetaltsuper fint!
__label__5 ,dejlig let og lige til og ikke mindst hurtigt da der akut opstod behov for en anden bil.
__label__5 ,yderst tilfreds og hurtig behandling af min ansøgning 
__label__5 ,hurtigt behandleikke noget at klar over.
__label__5 ,god service hurtig udbetaling
__label__5 ,nemt og hurtigt
__label__5 ,der var super nem og hurtigtmange tak:)
__label__5 ,er så tilfreds med ferratum bank utrolig god service venlige mennesker at tale med kan varmt anbefales 
__label__5 ,super tilfreds med servicen jeg fikgik lyne hurtigt og en rigtigt fin aftale os5 stjerne her fra
__label__5 ,hej mange tak for at hjælpe mig du er ti stjerner
__label__5 ,hurtig godkendelse og udbetaling
__label__5 ,hurtig og nem selvbetjening på deres hjemmeside og hurtig afgørelseom lånet kunne godkendes eller ikke.så nemt kan det gøres 
__label__5 ,dejlig og meget venlig hjælp og betjening
__label__5 ,god service og hurtige til at svare når man kontakter dem med spørgsmål. havde pengene samme dag som jeg ansøgte om kredit.
__label__5 ,let og enkelt at udfylde selve låne -ansøgningen og dermed også en tryghed ida den sendtesafstedat den var korrekt udfyldt tror knapt der gik 30 minså stod beløbet på mit konto en sjælden god kundeservice i denne digetale hverdag. i har fået min tillid og respektsom naturligvis er “lige over” en meget tilfreds kunde
__label__5 ,meget god servicekan kun sige godt om dem
__label__5 ,mange tak for en gode og hurtige service
__label__5 ,alt godt. god service og de leverer som aftalt.
__label__5 ,god og hurtig samt nemt
__label__5 ,waoow så hurtigt udbetaltmeget god service
__label__5 ,de er hurtige og effektiverigtig gode
__label__5 ,god kommunikation. godt og sikkert produkt. no nonsens.
__label__5 ,jeg er meget glad for dine kunder service.tak
__label__5 ,tak til jeri er rigtig god til at hjælpe jeres kundermvh. kamal khalaf
__label__5 ,hurtig og nemt. god service
__label__5 ,kan andbefales giver meget hurtigt tilbage meldinglånet er hurtigt på din konto et sted jeg alt tid vil bruge kun ++++××× her fra
__label__1 ,indforstå at undgå for dette må ikke gåhvor de lyver så øjenene flyver
__label__4 ,god service. enkelt og nemt
__label__5 ,god hjemmeside og meget hurtigt svar og flere muligheder for afdrag
__label__5 ,super fintbedre end jrg forventede
__label__4 ,så snart ferratum bank havde godkendt mit lån blev pengene indsat på min konto. hurtig ekspedition.
__label__5 ,ferratum bank er en rigtig god bank har haft ferratum bank i nogle år nu er rigtig godt tilfreds med mine lån jeg har rigtige søde mennesker god service kan varmt anbefales
__label__5 ,super service og hurtig og præcist overblik på jeres side
__label__5 ,hurtigt svar tilbage på ansøgning kan kun anbefale at benytte jer
__label__5 ,virklig hurtig og god betjening samt et godt tilbud . kan anbefaldes .
__label__5 ,rigtig god service.hurtig udbetaling og process! kan klart anbefale ferratum bank!
