rating,review
__label__5 ,jeg kunne ikke have været mere tilfreds med den service og professionalisme jeg mødte hos gamecastle. jeg ville helt klart anbefale dem til en ven tusind tak gc!
__label__5 ,bestilte en com og fik et opkald om at den var færdig men de kunne se jeg havde bestilt den til afhentning så de tilbød at sende den med gratis fragt samt en opgradering at en komponent. det er konge serviceikke sidste gang jeg har handlet med gamecastle
__label__5 ,fed oplevelse. meget god service.
__label__5 ,perfekt på alle mådersuper service
__label__5 ,vi har fået en fantastisk behandling i forbindelse med reklamation på et tastatur. mens vores eget tastatur var sendt til gamecastles leverandørfik vi tilsendt et andet tastatur ubså vores søn kunne komme til lan party . nu er der er nyt tastatur på vej på garantienog vi har fået lov at beholde det andetså vi et ekstra på lager.det er god service - tak for det vh. jan
__label__5 ,bestilte en logitech g mx518 som det viste sig at de desværre ikke havde på lager alligevel. da jeg ikke var interesseret i nogen anden mus tilbudte de at prøve at skaffe produktet hjem men endte med at henvise til en anden forhandler som kunne sælge produktet billigere. yderligere trækker de ikke penge før produktet er afsendt som jeg godt kunne savne hos andre leverandører.
__label__5 ,10 stjerner her fra - 5 er bare ikke nok !jeg har aldrig oplevet så god service på 1 handel !jeg kontakter gamecastle mandagda jeg har bygget en computer på deres hjemmesidemen da beløbet er for storttil det kan overføres på en ganghjælper gamecastle med at finde en løsning på problemet.derefter snakker vi sammen omkring setuppetog gamecastle godkender at det er et super fint setupefterfølgende får jeg overført betalingenog de bekræfter den er modtagetog de går straks igang med at bygge min pc.efterfølgende kontakter gamecastle migat det kabinet jeg har valgt desværre er udgået fra leverandørenmen at han har fundet et andet flot kabinetom jeg vil være tilfreds med detdette bekræfter jegda jeg syntes han havde fundet et super lækkert kabinet i stedet for !jeg havde enlig også bestilt levering af min pc hos gamecastlemen da jeg desværre ikke stoler på diverse transportfirmaer og deres måde de behandler pakker påkontakter jeg gamecastle og siger jeg gerne selv vil hente den når den er færdiggamecastle tilbyder så at vi kan mødes på halvejen og få overleveret computeren (kæmpe service)torsdag bliver jeg kontaktet at det er en anden model strømforsyning de har fået hjemmen stadig med de samme specsbare billigereom jeg er tilfreds med detfor så vil jeg kunne få overleveret computeren torsdag aftenog få differencen på prisen retur. dette bekræfter jegog vi mødes på halvejenmiguel som kommer og overlevere computerenvar en meget positiv og imødekommende personhan fortæller om diverse tingog hvordan jeg skal åbne kassen for at passe bedst på computeren.han kommer endda med alle kasserne fra diverse dele der er smidt i pcenså jeg havde dem også. plus jeg fik nogle super fine gaver fra gamecastlehan tilføjer også inden han vender retur at jeg altid er velkommen til at vende tilbagehvis der bliver den mindste fejl.jeg har nu haft computeren i lidt under en ugeog den kører bare som en drømder er intet den ikke kan kørerog jeg er super tilfreds med denne virkelig lækre maskine!jeg vil med glæde anbefale gamecastle til andre der står og skal have ny computer !tusinde tak for handlen gamecastle!
__label__5 ,fantastisk service!jeg har bestilt en computertastaturog høretelefoner fra gamecastleog da jeg havde bestilt et dårligt setup ringede de til migog spurgte om jeg ville få pengene refunderetsådan jeg kunne købe et bedre setup fra dem til en billigere pris.
__label__5 ,nem og overskuelig hjemmeside til konfiguration af pcmed præcis de komponenter vi ønskede.jeg blev ringet op da der var en lille ændring i forhold til ordren og fik at vide at de ville begynde at samle den med det samme.dagen efter blev den afsendt - og det var kun fordi at pakken overnattede et par dage hos gls (på grund af nytår) at jeg ikke fik min pc 3 dage efter bestilling.alt var bygget efter mine ønsker - kabelføring lavet rigtig flot og der var lagt ekstra kabler til de enhederjeg efterfølgende selv ville montere.super god service !!
__label__5 ,fantastisk kundeservice og hurtig levering
__label__5 ,handler der anden gang og stadig service i verdensklasse. kæmpe ros til gamecastle
__label__5 ,fuld ud tilfreds hurtig levering og ingen problemer
__label__5 ,absolut fantastisk service! sendte min computer til reparation og fik den lavet samme dag! kan ikke andet end at anbefale game castle!
__label__5 ,virker perfekt. :-)
__label__5 ,bestilte en custom computer derfraog havde en del spørgsmålsom jeg fik svar på med det samme. da jeg modtog computerenvar der en meget lille fejl og jeg skrev til dem og fik svar og klaret problemet ind for 10 min på en lørdag! bedste service jeg har fået i lang tid. kan klart anbefales
__label__5 ,fantastisk service!!bestilte en custom computer derfraefter en uges tid kom den frem på husstanden personligt fra firmaet! kan fra hjertet anbefales<3
__label__5 ,jeg har fået den bedste service fra bestilling til afvikling af en transportfejl. hurtig svar ved bestilling og hurtig levering. da jeg havde problemer med at opstart af pc var der respons inden for meget kort tid vi snakker 20 min på en lørdag. her får jeg høflig service og problemet bliver afviklet hvilket viser sig at være en transportfejl.
__label__5 ,super service og faglig viden til en ikke så gamerpc kyndig som mig. vi sparede en del penge ved at gamecastle brugte dele fra den gamle gamerpc til et nyt setup som vores søn er super glad for.
__label__5 ,god service. kan varmt anbefales.
__label__5 ,super service. det fungerede bare! 5* 
__label__5 ,fantastisk servicekøbte en gamer pc til sønnen som han selv havde sparet op til. efter 1 1/2 måned røg grafikkortet. jeg kontakter gamecastle og problemet bliver fikset inden for 2 dage med et nyt grafikkort og ingen omkostninger i transport eller levering. det er absolut den bedste service jeg har oplevet og som kunde uden nogen viden om it var der virkelig god forståelse for mit problem og det blev løst meget hurtigere end jeg havde regnet med. de skal have topkarakter herfra og mine varmeste anbefalingeren virksomhed med kunden i fokus og en virksomhed jeg har fået tillid til.
__label__5 ,synes faktisk at det var super billigtog fik også nøglen til mit spil på ca. 15 min. tilfreds (y)
