rating,review
__label__5 ,virkelig hurtigog god service.
__label__5 ,super god og kompetent service af mads fra kundeservice.han kunne svare på alle mine spørgsmål.vil helt sikkert handle der igen 
__label__5 ,rigtig god service! havde bestilt fire spisebordsstolehvortil jeg blev kontaktet telefonisk og vejledt vedr. forsinkelse på leveringenidet stolene ikke var på lager. jeg blev lovetat stolene kom hjem om to ugerhvilket de også gjorde. jeg blev kontaktet telefonisk dagen inden stolene blev leverethvor firmaet oplysteat de havde fået stolene på lager og de ville sende demså jeg modtog dem dagen efter.
__label__5 ,ualmindelig god service. fik feedback og tilbud samme dag som jeg havde snakken med dem. bestilling gik perfekt og hurtigt. klar anbefaling
__label__5 ,fantastisk service hos jysk møbelfabrik. jeg har haft kontakt til kim fra jysk møbelfabriksom har været enormt hjælpsom. jeg havde lidt problemer med én kontorstol. det løste han super hurtigt og til perfektion. jeg kunne tydeligt mærkeat han var interesseret i at hjælpe så godt han kunne med flere opfølgende telefonopkald. jeg mangler desværre ikke mere lige nu - men næste gang jeg skal have nye varer. så vender jeg retur. tak for en god behandling - kan varmt anbefales. /mads
__label__5 ,efter at have været her utallige gange i jyskmed den ene vanskelige opgave efter den andenfår vi det altid fikset til sidst ved hjælp af top service. ikke nok med at kunne huske sine kunders navne efter længere tidså går man aldrig ud uden en løsning på sit problem.
__label__5 ,rigtig god kundeservicefik hjælp til ændring af ordreselv efter at den var sat i produktionlevering til lovet tidog et rigtigt god og flot produkt.. dermed de bedste anbefalinger.
__label__5 ,virkelig finvenlig og god service. flotte stole til en favorabel pris.
__label__1 ,jeg bestilte bordben hos jyskmøbelfabrik og der var ingen gnidninger. jeg modtager faktisk bordbenene forholdsvist hurtigt og tænker ikke yderligere over dem før jeg står og skal montere. det viser sig at virksomheden har afsendt bordben og montagepladermen har undladt den essentielle del: skruerne som får delene til at hænge sammen. altså har jeg kun modtaget 2/3 af mit produkt. de to dele jeg havde modtaget har intet formål uden skruerne. jeg ringer så til virksomheden og snakker med en. han lover at vende tilbage dagen efter når han har forhørt sig med de andre medarbejdere. jeg hører intet fra ham dagen efter... og må selv tage kontakt ugen efter. han havde uden tvivl glemt alt om mig og havde ikke forhørt sig eller undersøgt noget. jeg giver ham derfor en chance mere for udbedre fejlen. jeg hører igen intet fra ham og ringer derfor til ham igen. han havde (igen) glemt alt om mig og min “sag”men sagde at han ville sætte den igang. jeg stoler på ham og venter. ikke længe efter modtager jeg en pakke med posten. han har formået at sende forkerte og (helt) ligegyldige skruer til mig. jeg ringer derfor til ham (igen igen) og fortæller ham om det. ham begynder derefter at belære mig om at man jo normalt ikke får skruer med. hvorefter jeg må stoppe ham og fortælle at det er en essentiel del af benene og at de ikke kan monteres uden. ham begynder derefter at skyde skylden på kommunikationsfejlhvilket simpelthen ikke er muligt når det meget specifikt er udpenslet i en mail hvilke skruer jeg mangler. i tilfælde af det er en “kommunikationsfejl” så skal han ikke sidde med kommunikation eller service. på daværende tidspunkt er jeg godt træt af dårlig service og fortæller at han meget gerne må sende de rigtige skruer afsted så jeg har dem indenfor samme uge (altså 3 uger efter første tlf. samtale). han fortæller at det ikke er muligt og jeg beslutter mig så derfor for at jeg bare skal have pengene krediteret og sender bordbenene tilbage. jeg bliver så bedt om selv at betale for returforsendelsen (hvilket jeg godt ved er rimeligt ifølge lov og regler) men simpelthen bare dårlig stil og service når det er virksomhedens fejl der gør at jeg er nødsaget til det. i alt tog dette 3 uger. 3 uger fyldt med dårlig servicejeg bliver glemt 3 gange og han formår at fremstille mig som dum over telefonen når det er ham som ikke har styr på produkterne han sælger eller på alm. god opførsel og service. hold jer væk!
__label__5 ,bestilte kontorstol om fredagen. fik mail med forventet levering om tirsdagen. dog ville armlæn først komme ca. 1½ måned senere - men det vidste jeg i forvejen. tirsdag kommer og jeg får naturligvis stolenmen sørme også armlæn med i samme levering.de virker meget professionelle. herfra er der kun stor ros med min handel og med den pågældende medarbejder (kim) jeg snakkede med.
