rating,review
__label__5 ,helt klart det bedste firma at handle med og når det kommer til rma sager har jeg aldrig oplevet et bedre og et hurtigere resultat. takker for jeres fine kundeservice !
__label__1 ,hold jer langt væk fra komplett. har bestilt varer for over en uge siden. selvom der står 2-3 hverdage for leverencen så modtog jer halvdelen af varerne og resten blev væk. komplett sender de varer igen men de påståt i kundeservice at de bliver sendt uden track & trace nr fra norge. helt amatøragtig virksomhed.
__label__5 ,jeg har været kunde hos jer i mange årog jeg er meget tilfreds. jeg får altid hjælp de sjældne gange jeg har brug for det og jeg har aldrig haft problemer med en ordre. så mange tak for det.
__label__1 ,sendte min computer ind til reparation. fik den tilbage med et andet grafikkort og ram. det grafikkort jeg fik istedet for mit gamle gik i stykker efter et århvor jeg så sender den ind igen. ender med at betale 2400 så får jeg den igen og den virker stadig ikke. skide elendigt service!!
__label__4 ,varen modtaget og det er godtmen i er nød til at skifte demder udbringer for jer “bring”for de skader det renomme i harher er min oplevelse af forløbetden er lagt op på deres side.dårlig oplevelsejeg bestiller en varesom bring skal bringe ud.den skulle komme frem d.2/3-2022så jeg er hjemme hele dagen og ingen pakke kommer den dagmen jeg kan så se sener d. 2/3-2022at de har forsøgt at aflever den på adressenmen så har kørt pakke ud til ok tankstationder ligger 7 km væk fra min adressefrem for stations kiosken der ligger 900 meter væk og nu har jeg ikke en bilså et stort problem.jeg ringer til demen sød medarbejder fortæller migat den vil være der først på eftermiddag næste dag d.3/3-2022de kommer så ikkejeg ringer til dem igen kl 12 og spørg igenbliver lovet af en medarbejderhvor leder har lovetat den vil komme efter kl 14 d.3/3-2022stadig ingen pakkejeg ringer kl 17 og får at videat det ikke bliver leveret hjemme i dagjeg beder medarbejder omat bede leder om at kontakte migfor i min boger et ord et ord og det vil så være 3 dagenhvor jeg ikke kan gå nogle stederfordi de ikke har styr på deres ting.min pakke kommer så d.4/3-2022 kl 10:15.hvis i har hørt fra lederså har jeg ogsåmen hovedet på sømmet2 dag hjemme og når tid er pengeja hvem skal betale for det ?hvad med jeres kunders renomme ?hvordan kan i tilbyde en service som ikke engang kan holdeder er forskel på 900 meter til 7 km i forhold til jeres pakkeshop.at jeres såkalte teamleder ikke engang kan ringe tilbage og give en undskyldning eller at i ikke engang kan give en kunde beskedmed det samme i ikke kan aflever pakkener det kundeservicenår i selv laver fejlhvad med jeres kunder i lever for ?tænker i på deres renomme ? eller dem der tager fri fra arbejdet ?.jeg ved en tingat jeres teamleder menerat opgaven er løstuden i det mindste at kunne give en undskyldninggør bare at jeg opfordre alle der handlerat de ikke skal bruge jeres service og hvis en forretning kun bruger jerså skal de heller ikke handle derdet er spil af tid og dårlige service.
__label__1 ,komplett giver tydeligvis en fløjtende finger for at få varersom er på forudbestillinghjem til kunderne til udgivelsesdatoen. forudbestil dine varer fra andre virksomhedersom rent faktisk kan finde ud af at håndtere forudbestillinger(hint: alle på nær komplett).
__label__5 ,jeg købte elden ring til playstation 4 i mandags på siden. leveringstid var anslået til 3 hverdage og i deres salgsbetingelser stårat de først pakker og sender mellem 16 og 18 hver dag. jeg bestilte kl 8 og der skete ikke noget indtil kl. 16 dagen efter. pakken var afsendt der og pakken kom i dag. præcis 3 dage som de lovede.alt var fint pakket ind og beskyttet. blev positivt overrasket.jeg køber nok igen hos jer.
__label__1 ,hej med jerjeg har en sag som jeg syntes iskulle kigge nærmere påda det er helt absurd og uforskammetsagen er den at jeg tilbage i september køber en pc til min mor hos komplett.dk men ak kort efter jeg har fået den sat op hos hende og installeret det hun ønskeraf spil osv. ja st stopper maskinen med at virkeså jeg kontakter komplett hvilket der ikke sker det store vedandet end at jeg skal sende maskinen tilbagejeg siger ok og de sender en returlabel som jeg printer ud og kommer på pakkenså går der en rum tid og min mor er træt af hun ikke har sin pc da det er hendes meget vigtige afslapnings medie nå men jeg køber en anden pc til hende så hun ikke skal vente længere på komplettså jeg tager igen kontakt til dem og siger jeg ønsker at få mine penge igenhvilket louise hos komplett siger ok til når bare de lige har registret at de har min pc tilbagehvilket jo er fair nokmen nu har jeg ventet siden september og har stadigvæk ikke mine pengeelcare som varetager reparationer for komplettbliver ved med at sende mig først to nye pc som jeg jo ikke skal haveså sender de den gamle pc som jeg heller ikke skal havejamen så sender de mig igen ny pc som jeg stadigvæk ikke skal havejeg ringer gentagne gange til louise som siger at de har en sag kørende med elcarehvortil jeg undrende svarer at det kommer jo ikke mig ved jeg skal bare have mine pengemen det har lange udsigter.jeg tænker barehvad nu hvis det havde været mig som skyldte komplet penge wow ja så var der påløbet renter og masser af rykkergebyr og kørt inkasso sag på mig osv. osv. jeg har meget svært ved at tro at jeg er den eneste som har oplevet det her med venlig hilsenthomas nielsen
__label__1 ,købte en powerbank som julegave i starten af december forventet levering var d. 22/12 siden da er de blevet ved med at rykke den forventet leveringsdato. de har nu for 4. gang eller noget i den stil rykket den forventede leveringsdato til d. 18/3 man hører intet skal selv gå ind og tjekke sin ordre for at finde ud af at de har rykket leveringsdatoen og alt i alt bare en rigtig skidt oplevelse.
__label__1 ,købte i midten af december en julegave i form af en powerbank der var på tilbud hos komplet.først blev datoen rykket til 22/12så til 16/1så til den 28/2 og nu igen til den 16/3.pas på med at købe ting på tilbud hos okmplettder lyder til at være rigtig gode. de lader din odrer stå til du selv ender med at annullere den.talte med en ikke særlig samarbejdsvillig kundeservice medarbejderder tilbød at annullere min odrer for mig.
__label__1 ,købte en powerbank d. 1/12 2021. har nu d. 27/2 2022 endnu ikke modtaget den. heller intet hørt. kan ikke anbefale at handle her!!
__label__1 ,snyd og bedrag! - siger de har været og levere men det har de ikke.fik en mail for 9 dage siden om at ordren var klar til afsendelse - siden hører jeg intet !jeg venter og venter . og der kommer ikke noget i dag får jeg så en mail om kreditering af min ordre?fordi de har forsøgt at levere den 2 gange. ( de skal ringe før lebvering som de selv siger i kundeservice) . ingen har ringet ang levering. jeg tror desværre den rabat jeg fik og den ekstra rabatkode gjorde at varen ikke fed at sælge til mig fordi man ikke har tjent nok på det - som de siger du er desværre nødt til at købe varen igen vi kan ikke bare gensende dig den! nå men nu har jeg ikke længere koden der giver rabat og varen har ikke længere samme pris! det var sidste gang jeg handler hos komplett. og så en helt anden ting! er du gaaaaal en skinke jeg blev betjent af i kundeservice! hun nærmest skreg mig ind i øret jo. hold dig væk fra komplett! - det er komplett til grin. handler mine skærme et andet sted !
__label__1 ,useriøs butikspild af tid.jeg bestilte en epson printer 13 nov. rykkede for varen telefonisk midt i december da jeg ikke havde hørt fra kompletttil trods for en 10 dages leveringstid. det er jo fair at en vare kan være forsinket i disse corona tider. jeg blev lovet at printeren blev lev. den 8 februarog igen blev jeg skuffetefterfølgende har de annulleret min ordre uden at de har kontaktet undertegnede. dårlig service - jeg kan ikke anbefale kompletttotalt useriøst.
__label__1 ,det var jo da så sidste gang jeg laver en forudbestilling på et spilnår det ikke afsendes så jeg har det på release
__label__5 ,havde en kedelig oplevelse med en underleverandør til komplett. menkomplett havde hele vejen igennem en fin service og gav en god vejledning om købeloven- sagen blev derfor løst.
__label__4 ,for det meste smertefrit. enkelte gange med meget lang leveringstid.
__label__4 ,lidt langsomme til at sende varer. de sender ikke samme dag selv om varen er på lager. kundeservice fortæller at de har travlt på lager.
__label__1 ,virksomhed som tillader sig og trække penge for varetog derefter lader en i stikken med en levering som endnu ikke er modtaget. svaret ikke på mailog er komplette bløde i bolden når man ringer ril kundeservice. ærgerligt man ikke kan give 0 stjerner
__label__1 ,d. 21/12 køber jeg et tastaturder står “ikke på lagerklar til levering d. 23/12”. jeg kontakter dem via chatmed spørgsmål om det så er fremme d. 23/12 - de svare utrolig dårlig i deres chatmen meddeler at det sendes den dato. jeg vælger dog at købe tastaturet.i dag d. 27/12 tjekker jeg op på min ordredet er fortsat ikke afsendt. kigger jeg på produktet på sidenforventes det nu først hjemme d. 29/12. jeg kontakter dem igen via deres chatsom endnu engang er elendig til at svare. her meddeler deat det jo kun er en forventet datomen at der inden den dato vil komme en opdatering - så bliver det spændende hvornår de så forventer at have produktet hjemme… jeg som kunde sidder med en forventning omat produktet bliver afsendt d. 23/12da det er informationen jeg fik under mit køb.men midt i at jeg er ved at skrive i chattenmed benjaminvælger de at lukke chatten og dermed afbrydes jeg..elendig kundeservicemisvisende informationer!
__label__1 ,blev skrevet op til xbox series x men de kunne ikke leveret.nu oplever jeg voldsom spam på at se de har en uden at jeg kan afmelde dette.
__label__1 ,køb aldrig julegaver her. de kan kun fortrydesi begrænset omfang. købte en sæt høretelefoner midt i november til 800 kr. som julegavemen personen gaven var til fik et andet sæt høretelefoner også i julegave. så ville gerne returnere det par købt i november. men det kan man ikke fortryde. elendig service.
__label__5 ,bestilte en julegave 21/12som blev leveret allerede dagen efter. varen havde endda en god pris.
__label__5 ,fantastisk god servicelouise var en stor hjælp i kundeservice
__label__5 ,købte en routerdet viste sig at jeg ikke kunne bruge den til det fiber internet jeg har uden at skulle have udbyderens router sat til ogsådet er der ik plads til i mit setup. så returnerede mit købt og har netop fået en kvittering på beløbet bliver tilbage betalt. det er dejligt og gik nemt. tak for god service.
__label__1 ,har dags dato klaget til forbrugerklagenævnet fordi de nu for 3. gang vil have en skærm sendt ind der havde en fejl fra dag 1 - den skulle have været ombyttet på formodningsreglen efter få ugermen har nu brugt 10 måneder og utallige mails på nul og nix.aldrig mere komplet.dkupdate: efter anmeldelse til forbrugerklagenævnet fik jeg pengene retur - næsten et år efter købet af en skærm der havde fejl fra dag 1. hold jer langt væk
