rating,review
__label__2 ,ikke meget hjælpe at hente herjeg havde booket 2 flybilletter retur cph-aalborg som eurobonus medlem med pointmen nu er afgangen på udturen blevet rykket fra kl 9:10 til 7:00 samme morgen.da sæderne jeg havde bestilt så vel ikke gælder mere på udturenvil jeg da have de penge tilbagemen der er konstant telefonsvarer på 70102000. man kan jo ikke kontakte dem. jeg vil desuden høre om muligheder for en ombookning til senere på formiddagen i stedet for.jeg har heller ikke modtaget en ny billet med den nye afgangstid på. der står ikke nogle steder hvad tid man skal møde i lufthavnen.
__label__1 ,book aldrig sæde i flyet på forhånd! nu er vi for anden gang i træk blevet flyttet længere tilbage i flyet. havde ønsket at komme så langt frem som muligt pga handicapog havde også fået assistance til gaten af samme grund. betalte ekstra 338 kr.men pengene kunne selvfølgelig ikke refunderesda der meget belejligt stod et eller andet med småt - på engelsk - om forbehold (for hvad)?føler det nærmest er tyveri at blive bondefanget på den mådeog mister helt lysten til at rejse med sas en anden gang.
__label__1 ,forsinkelser konstant. har betalt over 5000kr for tur til paris. begge flyvninger forsinket! over en time!!easyjet er billigere og forsinkelser kan bedre accepteres når man køber discount. sas =scandinavianairlinessucks
__label__1 ,over to timers forsinkelse og ingen kommunikation op til den forsinkede afgang omkring ny gate og afgangstidspunkt. hvis jeg kan undgå detflyver jeg ikke sas en anden gang.
__label__1 ,har givet en flyrejse i gave. billetter bestilt tilbage i oktober 2021 til dyr pris.har ved en fejl ikke fået skrevet hele efternavnet ind. sas opkræver 600 kr for at tilføje resten af efternavnet på personen.i forvejen dyre ekstra udgifter på kuffert.det er simpelthen så usselt. ringe service fi des ikke. aldrig mere sas.tag jeres 600 kr og undvær resten af de penge vi havde tænkt at bruge på flyrejser. de går nu til et andet selskab.anbefales herfra at gå uden om sas! føj!
__label__1 ,vi skal afsted i morgen og der blev åbnet for check-in i 30 timer før. til min overraskelse er der ifølge sas app ikke inkluderet bagage på udturen og jeg læser det grundigt igennem og kan se at bagagen på hjemturen er inkluderet. jeg havde oprindelig valgt sas da det var inkluderet i den oprindelige pris. da jeg hader ekstra gebyrer som ryan air og lign jeg tilføjer derfor 2 ekstra kufferter til en pris af 600 kr og er noget muggen.efter jeg har godkendt og betalt går jeg så ind via bekræftelses mail og kan nu se at jeg så har 7 kufferter. altså de 2 for meget jeg lige har køb. der er en fejl i appen. kundeservice kan ikke hjælpe mig med noget. desværre er sas blevet til et lavpris selskab og dårlig service
__label__1 ,1 stjerne er for godt!vi rejste med sas i februar til åre i sverige og vores bagage kom ikke med.så begyndte cirkus sas for alvor.vores bagage ankom to dage senere og vi måtte i mellemtiden selv købe nyt tøj for egen regningfordi vi troede at sas ville refundere det.en flabet (og dårlig oplært) medarbejder ville også have ar sas skulle betales for at bagagen blev bragt til os i åremen heldigvis var der en hjælpsom person i østersundsom kørte bagagen ud.så udfyldte vi en bagage claim og fik autosvaret at grundet coronaså ville det tage op til 6 uger at behandle vores klage.bevaressas har bedt om vores kvitteringersom fluks blev indsendt.men så mente sas da også i anden korrespondance at de havde svaret indenfor 6 ugermen ikke løst sagen.i en tredje korrespondance efter sas undlod at svare på flere rykkere på mailså sagde de også at nu var behandlingstiden 8 uger. men hun kunne ikke rykke sas da det var en anden afdeling i sas. det forstår jeg stadig ikke?men nu har vi opgivet sas og kører sagen over vores forsikringsselskab.det er en stor skam at sas er blevet så rigide og usamarbejdsvillige. vi vil helt sikkert ikke rejse med dem igen når de så klart som her sylter et klokkeklart erstatningsansvar og med mange dårlige undskyldninger på alting.som skrevet i starten så er 1 stjerne for godtså med sas skulle der være mulighed for 0 stjerner!!!
__label__1 ,tænk 2 eller 3 gange inden bestilling hos sas.jeg harsom flere andrei dag fået besked fra sas omat min hjemtur fra dublin er blevet rykket tre dage frem!. sas har på ingen måde kunne hjælpe med at få rejsen på pladsmen kunne tilbyde fly med mellemlanding til 9000 kr. mere end oprindelig pris. billetter til 5 personer er bestilt for præcis 2 måneder siden. sas har lugtet guld i danskereder vil på ferie i påsken og skyr ingen midlerfor at hente manglende indtjening ind fra sidste 2 års corona pandemi. jeg har fløjet med sas for sidste gang og overvejer man flybilletter til sommeren 2022 bør man seriøst stille sig selv det spørgsmålom man vil risikere ændringer i rejsedatoereller endnu værreom selskabet overlever til den tid?. det lugter kraftigt afat sas mangler kapital til at holde selskabet i live og det hul kommer kommende gæster måske til at skulle udfylde i en fart. det er kun 2 måneder sidenat sas sidst var i mediernegrundet dårlige arbejdsvilkår blandt personale.
__label__1 ,1* men kun fordi det ikke er muligt at raide 0*. får besked om at returfly er aflyst og få tilbudt fly hjem 3 dage senere ingen forståelse eller hjælp at hente. jojo vi kan da bare ændre hele ferien eller få pengene retur. tak for lorteservice 1 uge før planlagt ferie for 5 personer!!!!!! ændringer for at kunne rejse hjem planlagte dagmen nu med mellemlanding og dårligere afrejse tidspunkttil den smukke merpris af 50% oven i billetternes pris. tak for absolut minus service og max frustrationer. håber i har tricks i hatten til at finde nye kunder for det er sidste gang jeg benytter jeres ruter. det er i øvrigt 2 gang i år at sas har praktiseret dette scam for osså glem alt om enlige svaler det er åbenbart en del af konceptet for sas……. mega trist udvikling eller måske afvikling
__label__1 ,der var problemer med et sas-fly vi var på og blev derfor ombooket til en der fløj 12 timer senere. som erstatning på dagen fik vi én (!) madvoucher på 150kr som ikke kunne splittes op eller noget. mad i lufthavnen koster ca. 150 for et måltidnok ikke engang hvis man tæller drikkevarer med. er det virkelig meningen man kun er sulten en gang indenfor en så lang periode? henvendte os både personligt og senere telefonisk til sas der ikke var til nogle hjælp overhovedet...
