rating,review
__label__2 ,Hej betalt min regning ( troede jeg) den var åbenbart ikke gået igennem. Skulle så betale 100kr ekstra ved 1 rykker - det er ok ved rykker nr 2  men ikke ved rykker nr 1- Så nu finder jeg et andet sted at handle :-(
__label__5 ,Super godt.Hurtig levering  og fine priser.
__label__2 ,Jeg har bestilt et par sandaler ved Zalando og modtaget pakken i dag. Da jeg modtager den  har de lagt en str. 36 i pakken i stedet for en str. 38  som var størrelsen der rigtigt var bestilt. De var købt til en ferie på søndag  så nu kan jeg selv betale for returnering  og ikke bruge sandalerne til noget som helst. irriterende når man køber en vare med formål  men at man i stedet så modtager noget helt andet…
__label__1 ,Irriterende at få en rykker på 100 kr for manglende betaling  fordi de godt nok skriver de har modtaget ens retur (efter 400År) men opdatere det ikke… de skriver kun at de har ekstraordinært travlt :/
__label__3 ,Har køb hos Zalando i mange år og har været storforbruger. Er dog efterhånden så irriteret over  at varerene nu kommer alle mulige steder fra som gør  at leveringstiden er sååå lang. Samtidig er der flere og flere varer  der får klistret porto på 29 kr. på.Oftere og oftere kommer jeg til udkassen  ser der er porto på nogle af varene og at de kommer i flere pakker og så gider jeg bare ikke handle og logger af...
__label__1 ,Synes godt nok det er for dårligt at man betaler så mange penge for at tingene går i stykker bare én måned efter man har købt det. Hvor er det dog ringe kvalitet af såkaldte “mærkevarer”
__label__1 ,Nu har jeg oplevet flere gange hvor jeg bestiller en varer på tilbud hvor den ikke bliver leveret fordi Zalando med vilje laver fejl i label  så postnord ikke kan levere deres pakke - så passer det med at man bliver trukket rundt i manegen i 1-2 uger inden at de skriver til dig at pakken er tabt og du vil få overført dine penge  men det sjove er så at tilbuddet på det stykke tøj jeg har bestilt er tilbuddet ophørt og du skal derfor købe varen til den fulde pris. Zalando i er ganske enkelt til grin  håber karma må ramme jer en dag!! handler ALDRIG med jer igen. Svindlere!
__label__1 ,Indtil de skifter væk fra Postnord handler jeg ikke her længere. Gang på gang er mine ordrer forsinket med flere dage selvom levering forventes på specifik dato.
__label__1 ,Har ligesom mange andre pludselig ikke mulighed for at betale på andre måder end med bankoverførsel. Har ellers handlet mange gange på Zalando  men nu mister de endnu en kunde. 
__label__1 ,Handler aldrig her igen! Sender rykker på noget der er betalt flere gange selvom man sender konto udtog!
__label__5 ,Jeg havde bestilt en del tøj fra Zalando  som jeg modtog løbende. Herunder en jakke fra ekstern partner. Denne returnerede jeg dog. Jeg fik heldigvis en postkvittering på dette. Efter knap to uger havde jeg stadig ikke hørt mere eller fået pengene refunderet. Efter aftale med kundeservice fremsendte jeg kopi af min postkvittering. Det viste sig at jakken ssv. var forsvundet under transporten. Zalando skrev  at det jo ikke var min skyld  og de naturligvis refunderede beløbet for min jakke. Super professionelt og Zalando har i hvert fald fået en endnu mere loyal kunde i mig.
__label__5 ,Postnord havde mistet min pakke  men heldigvis var Zalando hurtig til at hjælpe og løse problemet
__label__1 ,Dårligste service jeg har oplevet! Dårlig personale som på ingen måde vil hjælpe og en ledelse som heller ikke ønsker at hjælpe. Lad vær med at handle ved Zalando!
