rating,review
__label__5 ,hurtig og sikker levering. top kvalitet.
__label__5 ,rigtig nem og overskuelig hjemmeside - hurtig ekspedition og levering.
__label__5 ,godt firma. ordentligt.
__label__5 ,tc leverer solid og professionel service. tc leverer lynhurtigt som regel dag til dag. stor ros og anbefaling herfra.
__label__5 ,god service og god pris. 
__label__5 ,hurtig levering! :-)
__label__5 ,hurtigtnemt og enkelt!
__label__5 ,fantastisk servicekan kun anbefale tape connection til alleog ikke mindst hurtig levering ‼
__label__5 ,super service. hurtig levering. havde nogle problemer med et produkt jeg havde købthvilket blev ordnet meget hurtigt og professionelt. korrespondencen med simon fra kundeservice var super og i fællesskab fik vi løst problemet.kan varmt anbefale tapeconnection
__label__5 ,super god serviceog meget viden om produktet. kom næste dag med posten.kan varmt anbefales..
__label__5 ,service helt i top. god og kompetent betjening og vejledning i deres fysiske butik. derudover hurtig til at svare retur på mail og følge op på tingene.
__label__5 ,alt var meget tilfredsstillende-og tak for den lille bog-som i sendte med.john p.
__label__5 ,perfekt vare og levering er meget tilfreds
__label__5 ,det var mit første køb hos tape connection. det bliver ikke det sidste. informativ hjemmeside. hurtig ekspedition. varen var mig i hænde dagen efter bestilling. super!
__label__5 ,fortsat tilfreds kunde - god serviceproblemfri levering og godt produkt.
__label__5 ,hurtig ordreafvikling og levering selvom der var ugen før jul.
__label__5 ,hurtig service + en bibel af et katalog med lækre billeder og beskrivelser. enhver hi-fi nørds drøm.
__label__5 ,hurtig leverings alt super - og meget nicemed et old school katalog 
__label__4 ,tak for hurtig betjening og god service.god jul
__label__5 ,ønskede at købe et ifi audio produkt men var i tvivl om det matchede mine behov. ringede til forretningen og fik besvaret alle mine spørgsmål meget klart og præcist. bestilte derefter produktet via butikkens hjemmeside. pakken blev afsendt fra butikken samme dag og leveret til min dør dagen efter med post nord. varen var pakket rigtig godt ind og levede derudover op til alle mine forventninger.
__label__5 ,super hurtig levering. og varen svarer overens med hvad jeg regnede med. såå tomps up!
__label__5 ,blev holdt grundigt informeret fra afgivelse af ordre til modtagelse af vare.vare ankom som lovet.
__label__5 ,var på jagt efter nogle ifi produkter og ramte uheldigvis en anden forhandler først (av-connection). jeg havde et par spørgsmålmen det viste sig hurtigtat de absolut intet vidste om de produkterjeg ville købe - og det er jo en ærlig sag - men da de gav sig til selv at opfinde svargav jeg op.fandt så produkterne hos tape connection og her var det en helt anden oplevelse: det var et godt spørgsmål - jeg tester det og vender tilbage indenfor 30 minutter. og det gjorde han! bestilte kort efter og fik pakken leveret næste morgen kl. 8.15.helthelt perfekt - tak - og nu ved jeg dahvor jeg skal handle fremadrettet ;-)
