rating,review
__label__5 ,absolut fantastisk service og hjælp. jeg stod med et akut problem da mit nye aktiveret sim-kort sad fast i sloth holder da jeg ikke kunne få sloth op. og ingen forbindelse. kontaktede thy rep i aarhus viachat og mail og begge blev besvaret mega hurtigt af nikolai. jeg kørte derned og han kunne heldigvis få det ud.og fik sim-kort ordentligt sat i og tjekkede med forbindelse.mega hjælpsom.og ville ikke have noget for detda det tog 1 minut. jeg vil helt klart bruge thy rep fremadrettet og mine varmeste anbefalinger giver jeg til thy rep.tak nikolai og thy rep.vh mette lund
__label__5 ,virkelig en fin forretningservice og ydelse er i top
__label__5 ,besøgte denne forretning med en defekt iphone. fik en super behandling af nicolaien grundig forklaring på alt. det er ikke sidste gang vi besøger dem. poul hoppe
__label__5 ,hurtig og kvik ekspedition. venligt personale
__label__5 ,super servicemeget kompetent og professionelt personale!
__label__5 ,fremragende. fantastisk service og reparation.
__label__5 ,hurtigt reparation af iphone xsgod priservenlig personale
__label__5 ,super flink personale og hurtig betjening.
__label__5 ,jeg fik skiftet min skærm på kun 30 minutter! virkelig god service! kan klart anbefales 
__label__5 ,var en tur i butikken i aarhus.hurtigeffektiv og behagelig oplevelse.skulle have skiftet glas på min iphone xs.kendte ikke stedet på forhånd.men super god service man mødte og så til en fornuftig pris.
__label__5 ,jeg skulle skifte mit batteridet gik lynhurtigt og der var fantastisk service.gode priser og godt personale
__label__5 ,ualmindelig høflig og helt igennem super hjælp til små penge . tak for det ! 
__label__5 ,fantastisk virksomhed!- sympatiske unge mennesker
__label__5 ,hurtig reparation og god service i butikken! kæmpe anbefaling herfra
__label__5 ,total god servicegrundigt arbejde og rigtig god behandling. 5 ud af 5 herfra og kan stærkt anbefales! 
__label__5 ,super god service virkelig venlig g mennesker bag disken.
__label__5 ,rigtig godt indtrykdet var første gangjeg handlede herdet gik stærkog fyren bag disken rar hjælpsom og effektiv. her kommer jeg klart igen næste gangjeg smadrer min mobil!
__label__5 ,søde medarbejdereder tager sig tid til at snakke og forklarer. de er 100% en anbefaling værdig!
__label__5 ,godhurtig og professionel service - fik skiftet min skærm på en xs max og det spiller. stor anbefaling herfra
__label__5 ,fantastisk servicehurtig betjeningsmilende og charmerende medarbejder og min søn synes at nikolaj er gud fordi han lavede hans ipad så hurtigt:-d kæmpe anbefaling herfra +5 stjerner!!
__label__5 ,god service og hurtig udskiftning af skærm 
__label__5 ,kunne ikke være mere tilfreds. god pris og virker upåklageligt. et sted jeg helt sikkert vil bruge igen.
__label__1 ,jeg fik skiftet bagglas på min iphone for cirka 2 uger siden og nu er det gået løs…
__label__5 ,super god service!hurtig reparation og god kvalitet
__label__5 ,hurtig og mega god betjening! alt var ligesom det skulle være. vil klart anbefale et besøg ved thyrep:)
__label__5 ,super oplevelse
__label__5 ,god service! fik lavet min telefon på kun 30 minutter5 stjerner herfra
__label__5 ,altid god sevice og rimmelige priser
__label__5 ,super behagelig betjeningvil klart anbefale jer.
__label__5 ,super god servicefik skiftet min iphone skærm til en super god pris og har ikke oplevet noget bøvl med skærmen siden (4-5 måneder siden)
__label__4 ,fik lavet bagglas på min iphonemen de lavede en fejlog satte det forkerte på. dog var der ingen problem at få det lavet omog jeg blev fint kompenseret for det ekstra bøvl. flink og hurtig service.
__label__5 ,fik god service af pjevi
__label__5 ,altid god servicehurtigt og til en skarp pris
__label__5 ,rigtig god betjeningsøde medarbejder
__label__5 ,fantastisk serviceog hurtig betjening. vi har brugt dem mange gange. byens billigste sted
__label__5 ,fantastiske imødekommende og hjælpsomme gutter. service er helt i top! rigtig god oplevelse :)
__label__4 ,jeg købte en ny telefon hos thyrep den virker super fint og mega fair pris
__label__5 ,go service til fornuftige priser!! jeg kom til at vente lidt på at få sat min skærm i og fik så gratis panserglas!
__label__5 ,kanon kundeservice og altid gode priser! :)vil helt sikkert handle her igen!
__label__5 ,nyt glas på 20 min. perfekt sat i. sød og rar betjening.
__label__5 ,jeg fik ordnet min skærm hurtigt og til en god pris. god service og venligt personale
__label__5 ,sødt personale og hurtig reparation
__label__5 ,fik skiftet skærm på min iphone på under 30 minutter og det hele spiller bare. kan varmt anbefales.
__label__5 ,bedste service! dygtige kompetente teknikere der levere et rigtig godt stykke arbejdehvor priskvalitet og leveringstid går hånd i hånd.
__label__5 ,super god og nem servicefik mine briller til tiden. de er super lækre og god kvalitetbruger dem meget til hverdagtil blandet andet gamingso-me og arbejde. super behagelige. kan kun anbefales herfrasamt prisen var utrolig god.
__label__5 ,bestilte et par blue light briller på hjemmesiden og fik dem leveret dagen efter. super god kvalitet og god service.
__label__1 ,jeg købte et pr bluelight briller på hjemmesidenmen de skulle dsv returneres. det er flere uger sidenat jeg sendte dem tilbage men har ikke modtaget pengeneog de svarer ikkenår jeg skriver over mail.
__label__5 ,fantastisk service - hurtig svar på spørgsmål dygtige og hurtige
__label__5 ,hurtig og god servicevenligt personale og ikke mindst super god produkter af kvalitet 
__label__5 ,rigtig god og hurtig service. kvaliteten er i top. klart anbefaling herfra
__label__5 ,pisse god service. lyn hurtigt og gode priser
__label__5 ,god og hurtig servicetil konkurrence dygtige priser 
__label__5 ,så absolut et dygtig team. jeg oplever holdetsom venligeeffektive og bestemt dygtige. kan bestemt kun anbefalde holdet
__label__5 ,har været der et par gange og få fixet min telefon. de super professionelle og hurtige. vil til hver en tid tage ud til dem i stedet for en appel-store eller lignende.
__label__5 ,thyrep er en butik der oser af professionalismeder er altid smil og hurtig service når man kommer ind og skal have lavet sin telefon/ipadplus et bredt udvalg af telefoner og tilbehør.
__label__5 ,klart de hurtigste og bedste der findes i hele vores kongerige
__label__5 ,altid super service og gode priser! 
__label__5 ,hurtig og rigtig god service !! 
__label__5 ,fantastisk sted at komme....altid god service og kvalitet i top.
__label__5 ,altid hurtig og god service! 
__label__2 ,jeg bestilte et par blue light briller og du stod af det vi sidder 7 til 12 dage men først efter 14 dage modtog jeg min blue light briller så man kan ikke regne med hvad der står med levering på denne hjemmeside
__label__2 ,langsom levering. indtil videre har jeg hverken oplevet at brillerne har gjort forskel eller haft andre virker.
__label__3 ,jeg har købt et par bluelight briller for et par dage sidenmen jeg kunne godt tænke mig at få bekræftet at de faktisk virker da jeg har en fornemmelse om at det er en slags hård plastik og ikke andet
__label__5 ,super god service og skønne medarbejdere :)
__label__5 ,hurtig levering og top service.kan klart anbefaledes
__label__5 ,altid god service og skarpe priser.kommer der helt sikkert igen
__label__5 ,endnu en gang har jeg oplevet en god handel hos thyrep. jeg valgte denne gang at få leveret mine varer hjemog det fungerede super fint med hurtig levering.
__label__5 ,da jeg ikke havde mulighed for at møde personligt op i butikken for at hente mine varertilbød de at sende dem til migog jeg modtog dem allerede få dage efter - super god service!!
__label__5 ,altid god behandling og service i top.
__label__5 ,jeg har kun gode oplevelser med thy rep har man et problem så er de mere end klar til at hjælpe med at løse problemet 
__label__5 ,kom dagen efter aften jeg bestilte det.bestilte et par bluelight brillervildt god kvalitetog god service. kan anbefales. brillerne virker!
__label__5 ,super god servicetil fornuftige priserkan varmt anbefales
__label__5 ,super service og gode priser 
__label__5 ,hurtig levering og super service af dygtigtpersonale 
__label__5 ,fin hjemmeside og hurtig levering fra shoppen 
