rating,review
__label__2 ,den dag man ikke er låner i banken er der ingen rådgivnin. deter lidt uforstående. man betaler jo for at have sine penge i banken.
__label__5 ,super go service. altid behjælpelige med det spørgsmål der nu kommer.når det gælder huskøb må jeg sige at bank har være med til at gøre det en del nemmere. jeg har en rådgiver der altid hjælpersætter mig i ind i tingene sådan det er til at forstå.så jeg kan klart anbefalede andre banken.
__label__5 ,rigtig godt tilfreds med kunderådgivningen. de er gode til at hjælpeog er så venlige.
__label__5 ,god økonomisk hjælp i forbindelse med hushandel
__label__5 ,jeg har fået et meget positiv indtryk af banken og glæder mig til at arbejde sammen med vestjysk bank.
__label__5 ,altid været god kunderådgivningsuper tilfreds
__label__5 ,har fået en rigtig god hjælp efter min mands død . anders rahbæk har jeg fået meget hjælp afmeget flink og er nem at tale med. vh minna kirstine andersen
__label__5 ,har haft kundeforhold i flere år og altid fået en super service med en god fornemmelse for min privat økonomisyntes de forskellige omkostninger er rimelige og renterne er lave.
__label__5 ,jeg har fået hjælp til 2 bolighandler i tidens løb. den sidste inden for det sidste halve år. jeg har følt mig godt behandlet og tryg begge gange. kristen lauridsen fra hvide sande afdelingen har været en kæmpe hjælp. altid seriøs og klar til at svare på spørgsmål hvad enten det angår lån typerandre former for finansiering.opgaver blev løst til tiden og ingen overasklser.hvide sande afdelingen kan jeg anbefale 100%
__label__5 ,vi har brugt vestjysk bank i mange år og det har vi ikke tanker om skal være anderledes.vi har har altid fået en god behandling og mødt professionelle medarbejdereder alle giver en meget personlig behandlingnoget vi sætter meget stor pris på i familien.vi vil varmt anbefale vestjysk bank.
__label__5 ,god og grundig vejledning i forhold til mit behov.de bedste anbefalinger herfra.
__label__5 ,absolut kun tilfreds. super betjening og gode folk.
__label__5 ,vi er godt tilfreds med banken altid venlig og god hjælp.
__label__5 ,har et fremragende samarbejde med vores kunderådgiver.
__label__5 ,fantastisk service - skønne menneskersnakke som alle forstår og en følelse af at blive taget seriøst. dejligt.
__label__5 ,har udelukkende kun haft positive oplevelser.personalet er altid smilende og imødekommende
__label__5 ,god behandling
__label__5 ,imødekommende og dygtigt personale.en bank der vil dig.
__label__5 ,har gennem mange år haft samme bankmand. er helt tryg ved hans råd og vejledning - og har aldrig haft grund til andet.
__label__5 ,jeg er meget tilfreds med banken og min bankrådgiver. altid god og sover rådgivning og vejledning.
__label__5 ,vi har været kunder i vestjysk bank i mange år og er meget tilfredse med vores bank. for nyligt har banken selv gjort os opmærksomme på økonomiske gevinster ved låneomlægninghvilket vi er meget tilfredse med!
__label__5 ,lydhøre og imødekommende rådgivereder er klar med gode forslag og hurtig og effektiv hjælp. skiftede fra en af de store bankerhvor man mest følte sig i vejen. det modsatte er tilfældet i vestjysk bank.
